Position,"Track Name",Artist,Streams,URL
56,X,"Nicky Jam",1139563,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
57,FRIENDS,Marshmello,1105229,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
58,"Me Niego",Reik,1093466,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
59,"Bed (feat. Ariana Grande)","Nicki Minaj",1091979,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
60,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1079232,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
61,YOSEMITE,"Travis Scott",1067723,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
62,Natural,"Imagine Dragons",1067513,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
63,"Cuando Te Besé","Becky G",1063467,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
64,IDGAF,"Dua Lipa",1061401,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
65,Havana,"Camila Cabello",1051503,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
66,"lovely (with Khalid)","Billie Eilish",1049074,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
67,"Look Alive (feat. Drake)","BlocBoy JB",1023681,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
68,Darkside,"Alan Walker",1012717,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
69,"La Player (Bandolera)","Zion & Lennox",1000868,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
70,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1000524,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
71,Believer,"Imagine Dragons",988131,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
72,"WAKE UP","Travis Scott",976591,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
73,Asesina,Brytiago,975436,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
74,"New Rules","Dua Lipa",970464,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
75,Flames,"David Guetta",958229,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
76,CAROUSEL,"Travis Scott",941062,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
77,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,932213,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
78,"All Girls Are The Same","Juice WRLD",925325,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
79,"BUTTERFLY EFFECT","Travis Scott",922534,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
80,Thunder,"Imagine Dragons",918719,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
81,Perfect,"Ed Sheeran",913166,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
82,"Thunderclouds with Sia, Diplo & Labrinth",Sia,895358,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
