Date & Time,Entry,Mode,Cost
11/21/18 9:11:07 PM,Girard Station - MFL,Subway,$2.00
11/22/2018 12:27:10 AM,13th St Station - MFL,Subway,$2.00
11/23/2018 11:07:33 PM,11th St Station - MFL,Subway,$2.00
11/28/18 6:02:38 PM,2nd St Station - MFL,Subway,$2.00
12/4/18 4:46:13 PM,Girard Station - MFL,Subway,$2.00
12/5/2018 11:18:17 AM,Girard Station - MFL,Subway,$2.00
12/5/18 3:38:15 PM,2nd St Station - MFL,Subway,$2.00
12/9/18 3:21:35 PM,Girard Station - MFL,Subway,$2.00
12/9/18 6:22:30 PM,Walnut Locust Station - BSL,Subway,$2.00
12/9/2018 10:19:49 PM,11th St Station - MFL,Subway,$2.00
12/10/18 8:42:38 AM,Girard Station - MFL,Subway,$2.00
12/10/18 4:35:08 PM,2nd St Station - MFL,Subway,$2.00
12/14/18 9:33:52 AM,Girard Station - MFL,Subway,$2.00
12/14/2018 10:45:52 AM,34th St Station - MFL,Subway,$1.00
12/15/18 1:16:50 PM,Aramingo Av & Clearfield St,Bus,$2.00
12/15/18 5:48:47 PM,Girard Station - MFL,Subway,$2.00
12/16/2018 12:45:03 PM,11th St Station - MFL,Subway,$2.00
12/19/18 7:33:44 PM,Girard Station - MFL,Subway,$2.00
12/19/18 7:50:15 PM,8th St & Market St,Bus,$1.00
12/19/18 9:35:14 PM,8th St & Federal St,Bus,$2.00
12/20/18 7:17:23 AM,Girard Station - MFL,Subway,$2.00
12/20/18 4:53:14 PM,2nd St Station - MFL,Subway,$2.00
12/20/18 7:26:09 PM,Girard Station - MFL,Subway,$2.00
12/21/18 9:24:31 AM,Girard Station - MFL,Subway,$2.00
12/29/2018 12:12:11 PM,5th St Station - MFL,Subway,$2.00
12/30/2018 10:54:11 PM,11th St Station - MFL,Subway,$2.00
12/31/18 9:36:47 AM,Girard Station - MFL,Subway,$2.00
12/31/18 9:53:37 AM,8th St Station - MFL,Subway,$1.00
12/31/2018 10:07:54 AM,8th St Station - MFL,Subway,$2.00
12/31/18 3:09:19 PM,Girard Station - MFL,Subway,$2.00
12/31/18 3:23:07 PM,15th St Station - MFL,Subway,$1.00
1/1/19 8:17:23 AM,Spring Garden Station - BSL,Subway,$2.00
1/3/19 8:42:39 AM,Girard Station - MFL,Subway,$2.00
1/3/19 2:09:00 PM,5th St Station - MFL,Subway,$2.00
1/4/19 8:54:44 AM,Girard Station - MFL,Subway,$2.00
1/4/19 2:04:56 PM,5th St Station - MFL,Subway,$2.00
1/4/19 3:06:31 PM,11th St Station - MFL,Subway,$1.00
1/6/19 1:30:40 PM,Girard Station - MFL,Subway,$2.00
1/6/19 4:20:18 PM,8th St Station - MFL,Subway,$2.00
1/6/19 8:11:31 PM,Girard Station - MFL,Subway,$2.00
1/6/19 9:36:59 PM,11th St Station - MFL,Subway,$1.00
1/7/2019 11:14:52 AM,Girard Station - MFL,Subway,$2.00
1/7/2019 12:44:50 PM,15th St Station - MFL,Subway,$1.00
1/7/19 7:48:35 PM,Girard Station - MFL,Subway,$2.00
1/7/2019 10:38:47 PM,52nd St Station - MFL,Subway,$2.00
1/9/19 7:49:33 AM,Girard Station - MFL,Subway,$2.00
1/9/19 3:17:30 PM,8th St Station - MFL,Subway,$2.00
1/18/19 9:08:12 AM,11th St Station - MFL,Subway,$2.00
1/18/19 1:09:41 PM,5th St Station - MFL,Subway,$2.00
1/19/19 1:30:42 PM,Spring Garden Station - BSL,Subway,$2.00
1/20/2019 12:38:16 PM,4th St & Fairmount Av,Bus,$2.00
1/20/2019 12:45:09 PM,Arch St & 4th St - FS,Bus,$1.00
1/20/19 3:20:17 PM,23rd St & Fairmount Av,Bus,$2.00
1/20/19 4:19:29 PM,11th St Station - MFL,Subway,$1.00
1/20/19 4:19:29 PM,11th St Station - MFL,Subway,$2.00
1/25/19 9:44:22 AM,Girard Station - MFL,Subway,$2.00
1/26/2019 12:46:46 PM,Girard Station - MFL,Subway,$2.00
1/26/19 1:02:41 PM,15th St Station - MFL,Subway,$1.00
1/26/19 4:35:25 PM,Spring Garden Station - BSL,Subway,$2.00
1/26/19 5:20:31 PM,40th St Trolley Portal,Trolley,$1.00
1/27/19 2:19:02 PM,11th St Station - MFL,Subway,$2.00
1/28/2019 10:09:29 AM,Girard Station - MFL,Subway,$2.00
1/28/19 3:20:11 PM,2nd St Station - MFL,Subway,$2.00
1/30/2019 10:59:19 AM,Girard Station - MFL,Subway,$2.00
1/30/19 5:47:20 PM,5th St Station - MFL,Subway,$2.00
2/2/19 2:55:33 PM,Girard Av & Front St,Trolley,$2.00
2/2/19 3:25:17 PM,11th St & Girard Av,Bus,$1.00
2/3/19 4:27:23 PM,11th St Station - MFL,Subway,$2.00
2/5/19 8:11:31 PM,7th St & Chestnut St,Bus,$2.00
2/6/2019 10:04:02 AM,Girard Station - MFL,Subway,$2.00
2/6/2019 12:10:04 PM,8th St Station - MFL,Subway,$2.00
2/8/19 6:23:19 PM,Girard Station - MFL,Subway,$2.00
2/8/19 7:11:27 PM,Walnut Locust Station - BSL,Subway,$1.00
2/9/2019 10:18:38 AM,19th St & Vine St,Bus,$2.00
2/9/2019 10:25:45 AM,15th St Station - MFL,Subway,$1.00
2/9/2019 12:15:46 PM,Girard Station - MFL,Subway,$2.00
2/9/19 2:28:32 PM,40th St Station - MFL,Subway,$2.00
2/10/2019 11:53:59 AM,Spring Garden St & 12th St,Bus,$2.00
2/10/19 4:09:50 PM,Girard Station - MFL,Subway,$2.00
2/10/19 5:54:20 PM,13th St Station - MFL,Subway,$2.00
2/10/19 6:19:51 PM,Berks Station - MFL,Subway,$1.00
2/11/19 5:08:44 PM,Girard Av & 3rd St,Bus,$2.00
2/11/19 6:08:05 PM,3rd St & Spring Garden St,Bus,$1.00
2/15/19 9:25:36 AM,Spring Garden Station - BSL,Subway,$2.00
2/15/2019 11:26:10 AM,15th St Station - MFL,Subway,$2.00
2/15/19 4:21:28 PM,5th St Station - MFL,Subway,$2.00
2/15/19 9:06:46 PM,Girard Station - MFL,Subway,$2.00
2/15/19 9:45:44 PM,30th St Station - MFL,Subway,$1.00
2/16/2019 12:07:09 PM,Girard Station - MFL,Subway,$2.00
2/16/2019 12:32:22 PM,15th St Station - MFL,Subway,$1.00
2/16/19 2:27:54 PM,40th St Trolley Portal,Trolley,$2.00
2/16/19 5:14:59 PM,11th St Station - MFL,Subway,$2.00
2/17/2019 11:23:41 AM,Girard Station - MFL,Subway,$2.00
2/17/2019 12:49:47 PM,Huntingdon Station - MFL,Subway,$1.00
2/17/19 1:10:58 PM,Market St & 13th St,Bus,$2.00
2/17/19 1:49:40 PM,20th St & Wood St,Bus,$1.00
2/17/19 4:16:06 PM,23rd St & Fairmount Av,Bus,$2.00
2/17/19 7:53:51 PM,11th St Station - MFL,Subway,$2.00
2/20/19 7:01:45 PM,Walnut St & 11th St,Bus,$2.00
2/21/19 4:54:38 PM,Girard Av & Front St,Trolley,$2.00
