Technology shop:,,
Vendor name,Total count in group,Percentage in group
Fireblade,64,2.71%
IXI Digital,63,2.67%
Shareaholic,63,2.67%
SSL Google Analytics,62,2.62%
Silverpop,60,2.54%
SnowPlow,57,2.41%
Kenshoo,54,2.28%
iGoDigital,53,2.24%
Woopra,50,2.11%
Listrak,49,2.07%
Lucky Orange,49,2.07%
Cross Pixel Media,49,2.07%
Parse.ly,47,1.99%
Akamai Acerno,47,1.99%
Urchin 5,47,1.99%
Sailthru Horizon,47,1.99%
Performable,45,1.9%
Pmetrics,45,1.9%
Bizible,44,1.86%
SLI Systems,44,1.86%
Maxymiser,43,1.82%
33 Across,41,1.73%
SessionCam,41,1.73%
Act-On,40,1.69%
Visual Sciences,40,1.69%
Certona,38,1.61%
Dynatrace,38,1.61%
Typepad Analytics,36,1.52%
OpinionLab,35,1.48%
GoSquared,35,1.48%
Sift Science,35,1.48%
TagMan,34,1.44%
FullStory,33,1.39%
HitTail - Long Tail Keyword Marketing,33,1.39%
Digital Window,33,1.39%
Google Analytics IP Anonymization,33,1.39%
SiteSpect,32,1.35%
BloomReach,32,1.35%
Keen IO,32,1.35%
Yandex Metrika,32,1.35%
PageFair,32,1.35%
Insightera,31,1.31%
Kampyle Analytics,31,1.31%
Mercent,31,1.31%
VisiStat,31,1.31%
Bombora,30,1.27%
Extole,30,1.27%
SearchForce,29,1.22%
XiTi,28,1.18%
TrustPilot,28,1.18%
Customer.io,28,1.18%
Reinvigorate,28,1.18%
Compete,28,1.18%
Lead Forensics,28,1.18%
AT Internet,28,1.18%
Gravity Insights,27,1.14%
Adobe CQ Analytics,26,1.1%
VisualDNA,25,1.05%
BlueCore,25,1.05%
Site Meter,25,1.05%
Nextopia,25,1.05%
Captora,25,1.05%
Unica,25,1.05%
netFactor - VisitorTracker,25,1.05%
Bing Conversion Tracking,24,1.01%
Mongoose Metrics,24,1.01%
Soasta mPulse,24,1.01%
TradeDoubler,24,1.01%
News Distribution Network,23,0.97%
Gaug.es,22,0.93%
eBay Enterprise,22,0.93%
Baynote,21,0.89%
Convert,21,0.89%
TVSquared,20,0.84%
aWeber,20,0.84%
UpSellit,20,0.84%
TellApart,19,0.8%
Synapse Clickable,19,0.8%
SeeWhy,19,0.8%
Dynamic Logic,19,0.8%
Klaviyo,19,0.8%
Crowd Science,19,0.8%
Instart Logic Loader,19,0.8%
Yieldify,18,0.76%
Sidecar,18,0.76%
DC Storm,18,0.76%
Marketo Real Time Personalization,18,0.76%
Lyris,18,0.76%
Granify,17,0.72%
Evergage,17,0.72%
Clickheat,17,0.72%
AvantMetrics,17,0.72%
ReachForce,17,0.72%
Sitestat,16,0.67%
SkyGlue,16,0.67%
SaleCycle,16,0.67%
Cloudflare Rocket Loader,16,0.67%
Webtrekk,16,0.67%
Lexity,16,0.67%
4Q Survey,16,0.67%
GoDataFeed,16,0.67%
WebTrends Optimize,15,0.63%
Amplitude,15,0.63%
VoiceStar AdTrack,15,0.63%
KickApps,14,0.59%
Yottaa,14,0.59%
BorderFree,14,0.59%
ClickDensity,14,0.59%
Usabilla,14,0.59%
Peerius,14,0.59%
Loggly,14,0.59%
LiveRamp,13,0.55%
PicReel,13,0.55%
Genius,13,0.55%
Core Audience,13,0.55%
ATInternet,13,0.55%
Google Analytics Custom Variables,13,0.55%
Usablenet,13,0.55%
ClickDimensions,13,0.55%
RebelMouse,12,0.5%
Agilone,12,0.5%
Optimost,12,0.5%
MerchantAdvantage,12,0.5%
Optify,12,0.5%
HiConversion,12,0.5%
Iconosquare,12,0.5%
ToutApp,12,0.5%
Baidu Analytics,12,0.5%
Lytics,12,0.5%
Google Analytics Forced SSL,12,0.5%
ThreatMetrix,11,0.46%
Spinnakr,11,0.46%
Qubit Deliver,11,0.46%
iovation,11,0.46%
Retention Science,11,0.46%
Vero,11,0.46%
NetElixir,11,0.46%
Visual IQ,10,0.42%
Raygun,10,0.42%
Convert Global,10,0.42%
Spring Metrics,10,0.42%
dotMailer,10,0.42%
MarketLive Analytics,10,0.42%
CallidusCloud,10,0.42%
Reflektion,10,0.42%
Barilliance,10,0.42%
ETracker,10,0.42%
MyBlogLog,10,0.42%
Conversion Ruler,10,0.42%
DMTracker,9,0.38%
Infusionsoft,9,0.38%
AWStats,9,0.38%
Strands,9,0.38%
Hitslink,9,0.38%
Google Analytics Social Interactions,9,0.38%
LiveBall,9,0.38%
Channel Intelligence TrueTag,9,0.38%
Freshplum,9,0.38%
Decibel Insight,8,0.33%
IgnitionOne,8,0.33%
Sales Engine International,8,0.33%
OneAll,8,0.33%
Mixpanel Partner,8,0.33%
CopperEgg,8,0.33%
UserZoom,8,0.33%
Curalate,7,0.29%
Sellpoints,7,0.29%
VTrenz (Silverpop),7,0.29%
eXTReMe Tracking,7,0.29%
Net Applications,7,0.29%
Marketizator,7,0.29%
AB Tasty,7,0.29%
Offerpop,7,0.29%
51.la,7,0.29%
WebMetro,7,0.29%
Mint,7,0.29%
Econda,7,0.29%
Crowd Factory,7,0.29%
