"year","loans","county_name","state_name"
"2008","120","Bandera County","Texas"
"2008","73","Banks County","Georgia"
"2008","1","Banner County","Nebraska"
"2008","993","Bannock County","Idaho"
"2008","15","Baraga County","Michigan"
"2008","17","Barber County","Kansas"
"2008","75","Barbour County","Alabama"
"2008","37","Barbour County","West Virginia"
"2008","294","Barceloneta Municipio","Puerto Rico"
"2008","92","Barnes County","North Dakota"
"2008","1596","Barnstable County","Massachusetts"
"2008","84","Barnwell County","South Carolina"
"2008","95","Barranquitas Municipio","Puerto Rico"
"2008","213","Barren County","Kentucky"
"2008","215","Barron County","Wisconsin"
"2008","801","Barrow County","Georgia"
"2008","364","Barry County","Michigan"
"2008","192","Barry County","Missouri"
"2008","818","Bartholomew County","Indiana"
"2008","184","Barton County","Kansas"
"2008","44","Barton County","Missouri"
"2008","890","Bartow County","Georgia"
"2008","495","Bastrop County","Texas"
"2008","102","Bates County","Missouri"
"2008","30","Bath County","Kentucky"
"2008","7","Bath County","Virginia"
"2008","306","Baxter County","Arkansas"
"2008","1305","Bay County","Florida"
"2008","773","Bay County","Michigan"
"2008","1315","Bayam�n Municipio","Puerto Rico"
"2008","64","Bayfield County","Wisconsin"
"2008","10","Baylor County","Texas"
"2008","65","Beadle County","South Dakota"
"2008","35","Bear Lake County","Idaho"
"2008","213","Beaufort County","North Carolina"
"2008","1489","Beaufort County","South Carolina"
"2008","254","Beauregard Parish","Louisiana"
"2008","21","Beaver County","Oklahoma"
"2008","1202","Beaver County","Pennsylvania"
"2008","38","Beaver County","Utah"
"2008","57","Beaverhead County","Montana"
"2008","220","Becker County","Minnesota"
"2008","144","Beckham County","Oklahoma"
"2008","243","Bedford County","Pennsylvania"
"2008","344","Bedford County","Tennessee"
"2008","633","Bedford County","Virginia"
"2008","45","Bedford city","Virginia"
"2008","99","Bee County","Texas"
"2008","364","Belknap County","New Hampshire"
"2008","83","Bell County","Kentucky"
"2008","4449","Bell County","Texas"
"2008","471","Belmont County","Ohio"
"2008","109","Beltrami County","Minnesota"
"2008","46","Ben Hill County","Georgia"
"2008","44","Benewah County","Idaho"
"2008","4","Bennett County","South Dakota"
"2008","144","Bennington County","Vermont"
"2008","8","Benson County","North Dakota"
"2008","20","Bent County","Colorado"
"2008","2916","Benton County","Arkansas"
"2008","57","Benton County","Indiana"
"2008","289","Benton County","Iowa"
"2008","345","Benton County","Minnesota"
"2008","28","Benton County","Mississippi"
"2008","101","Benton County","Missouri"
"2008","581","Benton County","Oregon"
"2008","90","Benton County","Tennessee"
"2008","2027","Benton County","Washington"
"2008","39","Benzie County","Michigan"
"2008","6310","Bergen County","New Jersey"
"2008","2215","Berkeley County","South Carolina"
"2008","1313","Berkeley County","West Virginia"
"2008","3470","Berks County","Pennsylvania"
"2008","1044","Berkshire County","Massachusetts"
"2008","5964","Bernalillo County","New Mexico"
"2008","75","Berrien County","Georgia"
"2008","1180","Berrien County","Michigan"
"2008","53","Bertie County","North Carolina"
"2008","37","Bethel Census Area","Alaska"
"2008","15637","Bexar County","Texas"
"2008","98","Bibb County","Alabama"
