UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00033094,2018-10-01,Pesticide Residues,Cereals & Bakery Products,India (IN),Local Authority,356
ICID00033103,2018-10-01,Allergens,Fruits & Vegetables,Turkey (TR),Port Health Authority (PHA),792
ICID00033104,2018-10-02,Composition,Dietetic Foods / Food Supplements / Fortified Foods,China (CN),RASFF,156
ICID00033105,2018-10-02,Labelling Absent / Incomplete / Incorrect,Food Contact Materials,United States (US),Administrative Assistance & Cooperation System (AAC),840
ICID00033106,2018-10-02,Labelling Absent / Incomplete / Incorrect,Food Contact Materials,United States (US),Administrative Assistance & Cooperation System (AAC),840
ICID00033109,2018-10-02,Clandestine Detection,Confectionery,Latvia (LV),Border Inspection Posts (BIPs),428
ICID00033110,2018-10-02,Pathogenic Micro-Organisms,Soups / Broths / Sauces & Condiments,Philippines (PH),RASFF,608
ICID00033111,2018-10-02,Food Additives & Flavourings,Non-Alcoholic Beverages,Vietnam (VN),RASFF,704
ICID00033112,2018-10-02,Mycotoxins,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00033113,2018-10-02,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00033115,2018-10-02,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00033116,2018-10-02,Poor or Insufficient Controls,Fish & Fish Products,China (CN),Border Inspection Posts (BIPs),156
ICID00033117,2018-10-02,Poor or Insufficient Controls,Fish & Fish Products,China (CN),Border Inspection Posts (BIPs),156
ICID00033118,2018-10-02,Novel Food,Other Food Product / Mixed,United States (US),EU Member States,840
ICID00033120,2018-10-03,Mycotoxins,Nuts / Nut Products / Seeds,China (CN),Border Inspection Posts (BIPs),156
ICID00033121,2018-10-03,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00033123,2018-10-04,Chemical Contamination (other),Fish & Fish Products,Vietnam (VN),Border Inspection Posts (BIPs),704
ICID00033129,2018-10-04,Pesticide Residues,Herbs & Spices,India (IN),Health & Safety Executive,356
ICID00033132,2018-10-04,Clandestine Detection,Fruits & Vegetables,France (FR),Home Office / Border Force,250
ICID00033135,2018-10-04,Clandestine Detection,Cocoa / Cocoa Preparations / Coffee / Tea,Poland (PL),Home Office / Border Force,616
ICID00033137,2018-10-05,Clandestine Detection,Confectionery,Tunisia (TN),Industry,788
ICID00033140,2018-10-05,Allergens,Milk & Milk Products,Germany (DE),Industry,276
ICID00033146,2018-10-08,Labelling Absent / Incomplete / Incorrect,Crustaceans & Products Thereof,India (IN),Local Authority,356
ICID00033147,2018-10-08,Pesticide Residues,Nuts / Nut Products / Seeds,Vietnam (VN),Industry,704
ICID00033153,2018-10-09,Allergens,Prepared Dishes & Snacks,Australia (AU),Industry,36
ICID00033154,2018-10-09,Mycotoxins,Confectionery,France (FR),Industry,250
ICID00033156,2018-10-09,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Vietnam (VN),Local Authority,704
ICID00033158,2018-10-09,Mycotoxins,Cereals & Bakery Products,France (FR),RASFF,250
ICID00033161,2018-10-10,Food Additives & Flavourings,Alcoholic Beverages,Czech Republic (CZ),EU Member States,203
ICID00033163,2018-10-10,Food Additives & Flavourings,Non-Alcoholic Beverages,United States (US),Border Inspection Posts (BIPs),840
ICID00033164,2018-10-10,Food Additives & Flavourings,Non-Alcoholic Beverages,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00033165,2018-10-10,Pesticide Residues,Nuts / Nut Products / Seeds,Netherlands (NL),Local Authority,528
ICID00033166,2018-10-10,Biocontaminants,Fats & Oils,Ukraine (UA),RASFF,804
ICID00033167,2018-10-11,Allergens,Nuts / Nut Products / Seeds,Egypt (EG),Local Authority,818
ICID00033170,2018-10-11,Clandestine Detection,Milk & Milk Products,Germany (DE),Home Office / Border Force,276
ICID00033177,2018-10-12,Pathogenic Micro-Organisms,Milk & Milk Products,Ireland (IE),RASFF,372
ICID00033179,2018-10-12,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00033180,2018-10-12,Mycotoxins,Nuts / Nut Products / Seeds,Brazil (BR),Port Health Authority (PHA),76
ICID00033181,2018-10-12,Pesticide Residues,Fruits & Vegetables,Belgium (BE),RASFF,56
ICID00033189,2018-10-12,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA),214
ICID00033191,2018-10-12,Adulteration / Fraud,Non-Alcoholic Beverages,Nigeria (NG),National Food Crime Unit (NFCU),566
ICID00033193,2018-10-15,Composition,Fish & Fish Products,Vietnam (VN),Local Authority,704
ICID00033196,2018-10-16,Clandestine Detection,Poultry Meat & Poultry Meat Products,Poland (PL),Home Office / Border Force,616
ICID00033204,2018-10-17,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,Ireland (IE),Industry,372
ICID00033209,2018-10-17,Pesticide Residues,Fruits & Vegetables,China (CN),Border Inspection Posts (BIPs),156
ICID00033211,2018-10-17,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Italy (IT),RASFF,380
ICID00033213,2018-10-17,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,Sudan (SD),RASFF,729
ICID00033215,2018-10-18,Mycotoxins,Nuts / Nut Products / Seeds,Tanzania United Republic (TZ),Port Health Authority (PHA),834
ICID00033216,2018-10-17,Food Additives & Flavourings,Fruits & Vegetables,Lebanon (LB),Border Inspection Posts (BIPs),422
ICID00033217,2018-10-18,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Italy (IT),RASFF,380
ICID00033218,2018-10-18,Poor or Insufficient Controls,Other Food Product / Mixed,South Africa (ZA),Local Authority,710
ICID00033221,2018-10-19,Clandestine Detection,Fruits & Vegetables,France (FR),Home Office / Border Force,250
ICID00033223,2018-10-19,Foreign Bodies,Other Food Product / Mixed,Netherlands (NL),Local Authority,528
ICID00033224,2018-10-19,Migration,Food Contact Materials,China (CN),Port Health Authority (PHA),156
ICID00033228,2018-10-19,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Port Health Authority (PHA),404
ICID00033229,2018-10-20,Clandestine Detection,Soups / Broths / Sauces & Condiments,Italy (IT),Home Office / Border Force,380
ICID00033230,2018-10-21,Clandestine Detection,Cocoa / Cocoa Preparations / Coffee / Tea,Poland (PL),Home Office / Border Force,616
ICID00033231,2018-10-21,Clandestine Detection,Milk & Milk Products,Germany (DE),Home Office / Border Force,276
ICID00033235,2018-10-22,Allergens,Prepared Dishes & Snacks,Belgium (BE),Industry,56
ICID00033236,2018-10-22,Allergens,Prepared Dishes & Snacks,Netherlands (NL),Local Authority,528
ICID00033238,2018-10-22,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs),840
ICID00033239,2018-10-23,Chemical Contamination (other),Fish & Fish Products,France (FR),General Public,250
ICID00033240,2018-10-23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00033241,2018-10-23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00033243,2018-10-23,Allergens,Prepared Dishes & Snacks,United States (US),Local Authority,840
ICID00033247,2018-10-23,Pathogenic Micro-Organisms,Crustaceans & Products Thereof,Vietnam (VN),Border Inspection Posts (BIPs),704
ICID00033250,2018-10-23,Clandestine Detection,Confectionery,Poland (PL),Home Office / Border Force,616
ICID00033251,2018-10-24,Clandestine Detection,Herbs & Spices,Poland (PL),Home Office / Border Force,616
ICID00033252,2018-10-24,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00033254,2018-10-24,Pesticide Residues,Cereals & Bakery Products,Thailand (TH),RASFF,764
ICID00033260,2018-10-24,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00033261,2018-10-24,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00033262,2018-10-24,Clandestine Detection,Confectionery,Poland (PL),Police,616
ICID00033263,2018-10-25,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Netherlands (NL),Local Authority,528
ICID00033267,2018-10-25,Clandestine Detection,Other Food Product / Mixed,Slovakia (SK),Police,703
ICID00033268,2018-10-25,Poor or Insufficient Controls,Prepared Dishes & Snacks,Netherlands (NL),General Public,528
ICID00033269,2018-10-25,Clandestine Detection,Prepared Dishes & Snacks,Slovakia (SK),Home Office / Border Force,703
ICID00033270,2018-10-25,Labelling Absent / Incomplete / Incorrect,Food Contact Materials,United States (US),Administrative Assistance & Cooperation System (AAC),840
ICID00033271,2018-10-25,Clandestine Detection,Confectionery,Poland (PL),Police,616
ICID00033281,2018-10-26,Clandestine Detection,Food Contact Materials,Hungary (HU),Home Office / Border Force,348
ICID00033282,2018-10-26,Pathogenic Micro-Organisms,Cereals & Bakery Products,Hungary (HU),RASFF,348
ICID00033284,2018-10-26,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA),214
ICID00033286,2018-10-27,Clandestine Detection,Confectionery,Luxembourg (LU),Border Inspection Posts (BIPs),442
ICID00033287,2018-10-27,Clandestine Detection,Other Food Product / Mixed,France (FR),Border Inspection Posts (BIPs),250
ICID00033291,2018-10-29,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),EU Member States,616
ICID00033299,2018-10-29,Labelling Absent / Incomplete / Incorrect,Milk & Milk Products,France (FR),Local Authority,250
ICID00033301,2018-10-30,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Netherlands (NL),RASFF,528
ICID00033304,2018-10-31,Adulteration / Fraud,Fruits & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00033306,2018-10-31,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Germany (DE),Department of Health (DH),276
ICID00033310,2018-10-31,Pathogenic Micro-Organisms,Soups / Broths / Sauces & Condiments,Netherlands (NL),Industry,528
ICID00033311,2018-10-31,Biocontaminants,Fats & Oils,Sierra Leone (SL),Border Inspection Posts (BIPs),694
ICID00033312,2018-10-31,Mycotoxins,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00033313,2018-10-31,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00033314,2018-10-31,Pathogenic Micro-Organisms,Soups / Broths / Sauces & Condiments,Italy (IT),RASFF,380
ICID00032926,2018-09-03,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,Italy (IT),Industry,380
ICID00032928,2018-09-03,Allergens,Cereals & Bakery Products,Denmark (DK),RASFF,208
ICID00032929,2018-09-03,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Industry,792
ICID00032936,2018-09-04,Pathogenic Micro-Organisms,Food Contact Materials,China (CN),Administrative Assistance & Cooperation System (AAC),156
ICID00032937,2018-09-04,Clandestine Detection,Milk & Milk Products,Poland (PL),Home Office / Border Force,616
ICID00032939,2018-09-05,Clandestine Detection,Fruits & Vegetables,Turkey (TR),EU Member States,792
ICID00032940,2018-09-05,Mycotoxins,Nuts / Nut Products / Seeds,Netherlands (NL),Industry,528
ICID00032944,2018-09-06,Poor or Insufficient Controls,Honey & Royal Jelly,Mexico (MX),Border Inspection Posts (BIPs),484
ICID00032945,2018-09-04,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00032948,2018-09-06,Mycotoxins,Nuts / Nut Products / Seeds,Bolivia (BO),Food Standards Scotland (FSS),68
ICID00032949,2018-09-04,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Italy (IT),Local Authority,380
ICID00032950,2018-09-07,Clandestine Detection,Milk & Milk Products,France (FR),Border Inspection Posts (BIPs),250
ICID00032952,2018-09-06,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,Poland (PL),FSA England,616
ICID00032958,2018-09-07,Packaging Defective / Incorrect,Fish & Fish Products,Morocco (MA),Border Inspection Posts (BIPs),504
ICID00032960,2018-09-07,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Argentina (AR),RASFF,32
ICID00032962,2018-09-07,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),RASFF,32
ICID00032966,2018-09-10,Pesticide Residues,Other Food Product / Mixed,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00032970,2018-09-10,Foreign Bodies,Other Food Product / Mixed,Belgium (BE),RASFF,56
ICID00032971,2018-09-10,Chemical Contamination (other),Fats & Oils,Netherlands (NL),RASFF,528
ICID00032972,2018-09-10,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00032973,2018-09-10,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00032977,2018-09-11,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00032981,2018-09-11,Poor or Insufficient Controls,Confectionery,Netherlands (NL),Local Authority,528
ICID00032982,2018-09-11,Labelling Absent / Incomplete / Incorrect,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00032983,2018-09-12,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00032984,2018-09-12,Clandestine Detection,Fruits & Vegetables,Poland (PL),Home Office / Border Force,616
ICID00032985,2018-09-12,Pathogenic Micro-Organisms,Feed Materials,Belgium (BE),RASFF,56
ICID00032991,2018-09-12,Pathogenic Micro-Organisms,Egg & Egg Products,France (FR),Local Authority,250
ICID00032993,2018-09-13,Poor or Insufficient Controls,Water,Ireland (IE),EU Member States,372
ICID00032996,2018-09-13,Pesticide Residues,Non-Alcoholic Beverages,China (CN),Border Inspection Posts (BIPs),156
ICID00032999,2018-09-13,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),RASFF,840
ICID00033003,2018-09-14,Poor or Insufficient Controls,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00033004,2018-09-14,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00033006,2018-09-14,Labelling Absent / Incomplete / Incorrect,Non-Alcoholic Beverages,Turkey (TR),Local Authority,792
ICID00033009,2018-09-14,Clandestine Detection,Milk & Milk Products,Greece (GR),Home Office / Border Force,300
ICID00033010,2018-09-14,Clandestine Detection,Cereals & Bakery Products,France (FR),Home Office / Border Force,250
ICID00033018,2018-09-17,Clandestine Detection,Fruits & Vegetables,Italy (IT),Home Office / Border Force,380
ICID00033022,2018-09-18,Pesticide Residues,Fruits & Vegetables,India (IN),Port Health Authority (PHA),356
ICID00033024,2018-09-18,Foreign Bodies,Non-Alcoholic Beverages,Thailand (TH),Local Authority,764
ICID00033025,2018-09-18,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Industry,404
ICID00033026,2018-09-18,Chemical Contamination (other),Feed Materials,Ukraine (UA),RASFF,804
ICID00033030,2018-09-19,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Ireland (IE),EU Member States,372
ICID00033033,2018-09-19,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Hungary (HU),RASFF,348
ICID00033035,2018-09-19,Clandestine Detection,Cereals & Bakery Products,Italy (IT),Home Office / Border Force,380
ICID00033042,2018-09-21,Mycotoxins,Nuts / Nut Products / Seeds,India (IN),Port Health Authority (PHA),356
ICID00033046,2018-09-22,Pathogenic Micro-Organisms,Confectionery,Lithuania (LT),Industry,440
ICID00033051,2018-09-24,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),RASFF,616
ICID00033052,2018-09-24,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Paraguay (PY),Industry,600
ICID00033053,2018-09-24,Pesticide Residues,Fruits & Vegetables,India (IN),Port Health Authority (PHA),356
ICID00033056,2018-09-25,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Italy (IT),Industry,380
ICID00033057,2018-09-25,Chemical Contamination (other),Soups / Broths / Sauces & Condiments,Phlippines (PH),EU Member States,608
ICID00033060,2018-09-25,Chemical Contamination (other),Herbs & Spices,Cameroon (CM),RASFF,120
ICID00033061,2018-09-25,Allergens,Cereals & Bakery Products,France (FR),Industry,250
ICID00033062,2018-09-26,Poor or Insufficient Controls,Crustaceans & Products Thereof,India (IN),Border Inspection Posts (BIPs),356
ICID00033069,2018-09-26,Pesticide Residues,Fruits & Vegetables,Kenya (KE),RASFF,404
ICID00033070,2018-09-26,Allergens,Cereals & Bakery Products,France (FR),Industry,250
ICID00033071,2018-09-27,Labelling Absent / Incomplete / Incorrect,Confectionery,Belgium (BE),Industry,56
ICID00032736,2018-08-01,Food Additives & Flavourings,Confectionery,Sri Lanka (LK),RASFF,144
ICID00032737,2018-08-01,Foreign Bodies,Cocoa / Cocoa Preparations / Coffee / Tea,Egypt (EG),Industry,818
ICID00032738,2018-08-02,Labelling Absent / Incomplete / Incorrect,Confectionery,United States (US),Administrative Assistance & Cooperation System (AAC),840
ICID00032740,2018-08-02,Chemical Contamination (other),Non-Alcoholic Beverages,Germany (DE),Food Standards Scotland (FSS),276
ICID00032741,2018-08-02,Mycotoxins,Herbs & Spices,China (CN),RASFF,156
ICID00032742,2018-08-02,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00032743,2018-08-02,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,China (CN),RASFF,156
ICID00032744,2018-08-03,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force,250
ICID00032749,2018-08-03,Poor or Insufficient Controls,Fish & Fish Products,Papua New Guinea (PG),Border Inspection Posts (BIPs),598
ICID00032750,2018-08-03,Composition,Food Additives & Flavourings,Netherlands (NL),Administrative Assistance & Cooperation System (AAC),528
ICID00032751,2018-08-03,Foreign Bodies,Fruits & Vegetables,Ireland (IE),EU Member States,372
ICID00032753,2018-08-03,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00032754,2018-08-03,Pesticide Residues,Fruits & Vegetables,Jamaica (JM),Port Health Authority (PHA),388
ICID00032757,2018-08-06,Pathogenic Micro-Organisms,Cereals & Bakery Products,China (CN),Home Office / Border Force,156
ICID00032758,2018-08-06,Poor or Insufficient Controls,Fish & Fish Products,Japan (JP),Border Inspection Posts (BIPs),392
ICID00032760,2018-08-06,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Netherlands (NL),Administrative Assistance & Cooperation System (AAC),528
ICID00032766,2018-08-06,Allergens,Alcoholic Beverages,Poland (PL),Local Authority,616
ICID00032767,2018-08-07,Clandestine Detection,Confectionery,Spain (ES),Home Office / Border Force,724
ICID00032768,2018-08-07,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Vietnam (VN),Administrative Assistance & Cooperation System (AAC),704
ICID00032770,2018-08-07,Pathogenic Micro-Organisms,Cereals & Bakery Products,Nigeria (NG),Administrative Assistance & Cooperation System (AAC),566
ICID00032772,2018-08-07,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Ireland (IE),FSA Operations Group,372
ICID00032779,2018-08-08,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,India (IN),Administrative Assistance & Cooperation System (AAC),356
ICID00032780,2018-08-08,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,Netherlands (NL),RASFF,528
ICID00032781,2018-08-08,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),RASFF,616
ICID00032782,2018-08-08,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00032784,2018-08-08,Clandestine Detection,Cereals & Bakery Products,Germany (DE),Border Inspection Posts (BIPs),276
ICID00032790,2018-08-09,Clandestine Detection,Egg & Egg Products,Poland (PL),Border Inspection Posts (BIPs),616
ICID00032791,2018-08-09,Poor or Insufficient Controls,Soups / Broths / Sauces & Condiments,India (IN),Port Health Authority (PHA),356
ICID00032792,2018-08-09,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00032793,2018-08-09,Allergens,Confectionery,Thailand (TH),Industry,764
ICID00032794,2018-08-10,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,Poland (PL),Local Authority,616
ICID00032797,2018-08-11,Clandestine Detection,Fruits & Vegetables,Italy (IT),Home Office / Border Force,380
ICID00032808,2018-08-14,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Australia (AU),Border Inspection Posts (BIPs),36
ICID00032809,2018-08-14,Pesticide Residues,Fruits & Vegetables,Netherlands (NL),RASFF,528
ICID00032816,2018-08-15,Labelling Absent / Incomplete / Incorrect,Confectionery,Netherlands (NL),Local Authority,528
ICID00032819,2018-08-15,Clandestine Detection,Soups / Broths / Sauces & Condiments,Switzerland (CH),Home Office / Border Force,756
ICID00032823,2018-08-16,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Switzerland (CH),RASFF,756
ICID00032824,2018-08-16,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00032825,2018-08-16,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00032826,2018-08-16,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00032831,2018-08-17,Clandestine Detection,Cereals & Bakery Products,Italy (IT),Border Inspection Posts (BIPs),380
ICID00032833,2018-08-17,Pathogenic Micro-Organisms,Other Food Product / Mixed,China (CN),Border Inspection Posts (BIPs),156
ICID00032835,2018-08-17,Pathogenic Micro-Organisms,Other Food Product / Mixed,China (CN),Border Inspection Posts (BIPs),156
ICID00032839,2018-08-17,Poor or Insufficient Controls,Fish & Fish Products,India (IN),Border Inspection Posts (BIPs),356
ICID00032842,2018-08-17,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00032848,2018-08-20,Pesticide Residues,Fruits & Vegetables,India (IN),Health & Safety Executive,356
ICID00032852,2018-08-20,Composition,Nuts / Nut Products / Seeds,United States (US),Local Authority,840
ICID00032855,2018-08-21,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Spain (ES),RASFF,724
ICID00032860,2018-08-21,Clandestine Detection,Meat & Meat Products (other than poultry),Germany (DE),Home Office / Border Force,276
ICID00032861,2018-08-22,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force,250
ICID00032862,2018-08-22,Mycotoxins,Nuts / Nut Products / Seeds,Nicaragua (NI),Port Health Authority (PHA),558
ICID00032865,2018-08-22,Allergens,Alcoholic Beverages,Chile (CL),Industry,152
ICID00032866,2018-08-22,Poor or Insufficient Controls,Fish & Fish Products,Vietnam (VN),Port Health Authority (PHA),704
ICID00032871,2018-08-22,Clandestine Detection,Poultry Meat & Poultry Meat Products,Poland (PL),Home Office / Border Force,616
ICID00032874,2018-08-22,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00032876,2018-08-23,Pathogenic Micro-Organisms,Fish & Fish Products,India (IN),Port Health Authority (PHA),356
ICID00032878,2018-08-23,Poor or Insufficient Controls,Fish & Fish Products,Poland (PL),Administrative Assistance & Cooperation System (AAC),616
ICID00032880,2018-08-24,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force,250
ICID00032882,2018-08-24,Pathogenic Micro-Organisms,Fish & Fish Products,Belgium (BE),RASFF,56
ICID00032884,2018-08-24,Allergens,Herbs & Spices,Spain (ES),European Commission (EC),724
ICID00032886,2018-08-27,Clandestine Detection,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs),724
ICID00032887,2018-08-28,Clandestine Detection,Poultry Meat & Poultry Meat Products,Spain (ES),Home Office / Border Force,724
ICID00032889,2018-08-24,Poor or Insufficient Controls,Fish & Fish Products,China (CN),Port Health Authority (PHA),156
ICID00032890,2018-08-17,Mycotoxins,Nuts / Nut Products / Seeds,Netherlands (NL),RASFF,528
ICID00032891,2018-08-24,Poor or Insufficient Controls,Fish & Fish Products,Sri Lanka (LK),Port Health Authority (PHA),144
ICID00032895,2018-08-29,Clandestine Detection,Cereals & Bakery Products,Belgium (BE),Home Office / Border Force,56
ICID00032899,2018-08-28,Pathogenic Micro-Organisms,Herbs & Spices,Guatemala (GT),RASFF,320
ICID00032904,2018-08-30,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00032905,2018-08-30,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00032909,2018-08-30,Clandestine Detection,Confectionery,Netherlands (NL),Home Office / Border Force,528
ICID00032910,2018-08-30,Packaging Defective / Incorrect,Fish & Fish Products,Peru (PE),RASFF,604
ICID00032911,2018-08-30,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Romania (RO),Department for Environment Food & Rural Affairs (Defra),642
ICID00032912,2018-08-30,Allergens,Prepared Dishes & Snacks,Poland (PL),Local Authority,616
ICID00032914,2018-08-31,Allergens,Prepared Dishes & Snacks,Ireland (IE),Industry,372
ICID00032921,2018-08-31,Pathogenic Micro-Organisms,Herbs & Spices,Germany (DE),Industry,276
ICID00032923,2018-08-31,Pathogenic Micro-Organisms,Herbs & Spices,Spain (ES),RASFF,724
ICID00032545,2018-07-03,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00032546,2018-07-03,Mycotoxins,Nuts / Nut products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00032547,2018-07-03,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00032549,2018-07-03,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00032550,2018-07-04,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),RASFF,616
ICID00032551,2018-07-04,Clandestine Detection,Other Food Product / Mixed,Romania (RO),Home Office / Border Force,642
ICID00032552,2018-07-04,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Romania (RO),Administrative Assistance & Cooperation System (AAC),642
ICID00032555,2018-07-05,Clandestine Detection,Fruits & Vegetables,Turkey (TR),Port Health Authority (PHA),792
ICID00032557,2018-07-05,Mycotoxins,Nuts / Nut products / Seeds,Zambia (ZM),Local Authority,894
ICID00032561,2018-07-05,Clandestine Detection,Other Food Product / Mixed,Poland (PL),Police,616
ICID00032564,2018-07-06,Clandestine Detection,Confectionery,Germany (DE),Border Inspection Posts (BIPs),276
ICID00032565,2018-07-05,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),RASFF,616
ICID00032568,2018-07-06,Mycotoxins,Nuts / Nut products / Seeds,United States (US),Border Inspection Posts (BIPs),840
ICID00032569,2018-07-06,Allergens,Poultry Meat & Poultry Meat Products,Germany (DE),Industry,276
ICID00032571,2018-07-06,Allergens,Meat & Meat Products (other than poultry),Brazil (BR),Local Authority,76
ICID00032577,2018-07-09,Adulteration / Fraud,Animal By-Products,Spain (ES),Local Authority,724
ICID00032578,2018-07-09,Poor or Insufficient Controls,Fish & Fish Products,Ghana (GH),Port Health Authority (PHA),288
ICID00032579,2018-07-04,Chemical Contamination (other),Nuts / Nut products / Seeds,China (CN),Local Authority,156
ICID00032580,2018-07-09,Poor or Insufficient Controls,Cereals & Bakery Products,Ghana (GH),Port Health Authority (PHA),288
ICID00032581,2018-07-09,Composition,Prepared Dishes & Snacks,Austria (AT),RASFF,40
