UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00031729,2018-03-01,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs),214
ICID00031730,2018-03-02,Mycotoxins,Fruits & Vegetables,Turkey (TR),RASFF,792
ICID00031733,2018-03-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Germany (DE),RASFF,276
ICID00031735,2018-03-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Germany (DE),RASFF,276
ICID00031740,2018-03-05,Poor or Insufficient Controls,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031741,2018-03-05,Pesticide Residues,Fruits & Vegetables,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00031743,2018-03-02,Allergens,Cereals & Bakery Products,China (CN),RASFF,156
ICID00031748,2018-03-06,Pesticide Residues,Non-Alcoholic Beverages,China (CN),Border Inspection Posts (BIPs),156
ICID00031749,2018-03-06,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00031751,2018-03-06,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),Local Authority,616
ICID00031753,2018-03-06,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031754,2018-03-06,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Germany (DE),Local Authority,276
ICID00031757,2018-03-06,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,Austrailia (AU),Local Authority,36
ICID00031763,2018-03-06,Allergens,Prepared Dishes & Snacks,India (IN),Local Authority,356
ICID00031770,2018-03-07,Allergens,Cereals & Bakery Products,Germany (DE),EU Member States,276
ICID00031777,2018-03-08,Feed Additives,Milk & Milk Products,France (FR),Local Authority,250
ICID00031778,2018-03-08,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Canada (CA),Local Authority,124
ICID00031779,2018-03-08,Foreign Bodies,Fruits & Vegetables,Bulgaria (BG),Local Authority,100
ICID00031780,2018-03-05,Composition,Food Additives & Flavourings,Philippines (PH),RASFF,608
ICID00031782,2018-03-08,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Cyprus (CY),RASFF,196
ICID00031783,2018-03-09,Poor or Insufficient Controls,Other Food Product / Mixed,Germany (DE),Police,276
ICID00031787,2018-03-09,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031791,2018-03-12,Allergens,Herbs & Spices,South Africa (ZA),Local Authority,710
ICID00031793,2018-03-12,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),Border Inspection Posts (BIPs),32
ICID00031794,2018-03-12,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031796,2018-03-12,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Lithuania (LT),Local Authority,440
ICID00031797,2018-03-12,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA),214
