time,lat,lng,height
2015-08-20 03:52:20.907,35.012826,32.515311,99.0999984741211
2015-08-20 03:52:21.779,35.012806,32.515291,98.80000305175781
2015-08-20 03:52:24.813,35.01276,32.515226,98.5
2015-08-20 03:52:25.698,35.012747,32.515203,97.9000015258789
2015-08-20 03:52:28.748,35.012709,32.515136,97.4000015258789
2015-08-20 03:52:29.672,35.012694,32.515113,97.0
2015-08-20 03:52:32.719,35.012636,32.515052,96.30000305175781
2015-08-20 03:52:33.698,35.012617,32.515034,96.30000305175781
2015-08-20 03:52:37.790,35.012537,32.514986,96.0999984741211
2015-08-20 03:52:38.678,35.012521,32.514964,96.5999984741211
2015-08-20 03:52:41.752,35.01246,32.514901,95.19999694824219
2015-08-20 03:52:42.684,35.012438,32.514882,94.69999694824219
2015-08-20 03:52:45.758,35.012371,32.514836,94.30000305175781
2015-08-20 03:52:46.679,35.012367,32.514813,94.9000015258789
2015-08-20 03:52:49.764,35.012418,32.514761,95.0
2015-08-20 03:52:50.678,35.012445,32.514746,95.4000015258789
2015-08-20 03:52:54.323,35.012516,32.514689,96.4000015258789
2015-08-20 03:52:54.673,35.01254,32.514671,96.5
2015-08-20 03:52:57.937,35.012615,32.514631,98.0
2015-08-20 03:52:58.682,35.012636,32.514619,97.69999694824219
2015-08-20 03:53:02.766,35.012717,32.514562,99.0999984741211
2015-08-20 03:53:03.678,35.012741,32.514545,99.19999694824219
2015-08-20 03:53:05.884,35.012782,32.514507,99.4000015258789
2015-08-20 03:53:33.775,35.013324,32.514134,105.19999694824219
2015-08-20 03:53:36.808,35.013393,32.514092,105.80000305175781
2015-08-20 03:53:37.677,35.013417,32.514077,106.19999694824219
2015-08-20 03:53:40.734,35.013493,32.514028,106.30000305175781
2015-08-20 03:53:41.686,35.013514,32.514011,107.19999694824219
2015-08-20 03:53:44.713,35.013472,32.513947,106.69999694824219
2015-08-20 03:53:45.682,35.013445,32.513928,107.30000305175781
2015-08-20 03:53:49.290,35.013363,32.513882,103.9000015258789
2015-08-20 03:53:49.679,35.013336,32.513869,102.5999984741211
2015-08-20 03:53:52.831,35.01327,32.513823,105.4000015258789
2015-08-20 03:53:53.737,35.013251,32.513807,105.0999984741211
2015-08-20 03:53:56.820,35.013178,32.513777,105.19999694824219
2015-08-20 03:53:57.772,35.013153,32.513769,104.69999694824219
2015-08-20 03:54:00.947,35.013078,32.513739,104.19999694824219
2015-08-20 03:54:01.713,35.013053,32.513726,103.9000015258789
2015-08-20 03:54:04.796,35.012981,32.513683,102.80000305175781
2015-08-20 03:54:05.739,35.012958,32.513666,102.30000305175781
2015-08-20 03:54:08.837,35.012891,32.513614,100.4000015258789
2015-08-20 03:54:09.736,35.012869,32.513598,100.4000015258789
2015-08-20 03:54:12.795,35.012791,32.513558,100.5999984741211
2015-08-20 03:54:13.691,35.012765,32.513546,100.4000015258789
2015-08-20 03:54:17.425,35.012687,32.513513,99.69999694824219
2015-08-20 03:54:17.724,35.01266,32.513502,99.9000015258789
2015-08-20 03:54:20.759,35.012578,32.513469,102.0
2015-08-20 03:54:21.692,35.01255,32.51346,102.0999984741211
2015-08-20 03:54:24.813,35.012471,32.513433,101.5999984741211
2015-08-20 03:54:25.692,35.012445,32.513426,100.9000015258789
2015-08-20 03:54:28.783,35.012367,32.513402,100.0999984741211
2015-08-20 03:54:29.687,35.012338,32.513394,99.19999694824219
2015-08-20 03:54:32.827,35.01226,32.513355,99.5
2015-08-20 03:54:33.691,35.012236,32.51334,99.4000015258789
2015-08-20 03:54:36.774,35.012159,32.513301,98.30000305175781
2015-08-20 03:54:37.686,35.012135,32.513288,96.69999694824219
2015-08-20 03:54:40.787,35.012063,32.513249,95.19999694824219
2015-08-20 03:54:41.686,35.012037,32.513237,95.0
2015-08-20 03:54:44.769,35.011961,32.513199,94.69999694824219
2015-08-20 03:54:45.688,35.011937,32.513184,95.19999694824219
2015-08-20 03:54:48.745,35.011868,32.51314,93.30000305175781
2015-08-20 03:54:49.689,35.011844,32.513126,93.19999694824219
2015-08-20 03:54:52.757,35.011766,32.513097,92.5
2015-08-20 03:54:53.684,35.011741,32.513088,91.4000015258789
2015-08-20 03:54:57.781,35.011644,32.513055,91.19999694824219
2015-08-20 03:54:58.688,35.011618,32.513048,90.9000015258789
2015-08-20 03:55:01.904,35.011538,32.513024,90.69999694824219
2015-08-20 03:55:02.695,35.01151,32.513016,91.0
2015-08-20 03:55:05.766,35.011432,32.512991,90.0
2015-08-20 03:55:06.696,35.011409,32.512982,88.9000015258789
2015-08-20 03:55:10.766,35.01131,32.512965,88.0
2015-08-20 03:55:11.690,35.011284,32.512962,88.0999984741211
2015-08-20 03:55:14.787,35.011205,32.512944,87.9000015258789
2015-08-20 03:55:15.692,35.011179,32.512936,87.80000305175781
2015-08-20 03:55:18.789,35.0111,32.512908,86.80000305175781
2015-08-20 03:55:19.724,35.011073,32.512897,87.69999694824219
2015-08-20 03:55:22.747,35.010991,32.512862,88.0
2015-08-20 03:55:23.801,35.010963,32.51285,88.30000305175781
2015-08-20 03:55:26.824,35.010873,32.51282,88.0999984741211
2015-08-20 03:55:27.730,35.010844,32.51281,87.30000305175781
2015-08-20 03:55:30.791,35.010765,32.512774,87.4000015258789
2015-08-20 03:55:31.786,35.010739,32.512762,87.5999984741211
2015-08-20 03:55:34.837,35.010661,32.512726,86.80000305175781
2015-08-20 03:55:35.724,35.010636,32.512714,86.69999694824219
2015-08-20 03:55:38.786,35.010562,32.512676,87.19999694824219
2015-08-20 03:55:39.770,35.010537,32.512664,87.30000305175781
2015-08-20 03:55:42.826,35.010455,32.512645,87.0999984741211
2015-08-20 03:55:43.699,35.010426,32.512642,86.5999984741211
2015-08-20 03:55:46.771,35.01034,32.512637,85.0
2015-08-20 03:55:47.692,35.010313,32.512636,84.9000015258789
2015-08-20 03:55:51.779,35.010212,32.512629,84.9000015258789
2015-08-20 03:55:52.694,35.010189,32.512625,84.4000015258789
2015-08-20 03:55:56.849,35.010093,32.512594,82.9000015258789
2015-08-20 03:55:57.697,35.010068,32.512584,83.69999694824219
2015-08-20 03:56:00.786,35.009988,32.512551,84.0999984741211
2015-08-20 03:56:01.697,35.009961,32.512539,84.5
2015-08-20 03:56:04.757,35.009883,32.512505,84.0
2015-08-20 03:56:05.839,35.009857,32.512493,84.0
2015-08-20 03:56:08.782,35.009785,32.512456,83.0
2015-08-20 03:56:09.705,35.009762,32.512445,82.9000015258789
2015-08-20 03:56:12.777,35.009692,32.512408,82.4000015258789
2015-08-20 03:56:13.701,35.009668,32.512395,82.80000305175781
2015-08-20 03:56:16.840,35.009595,32.512362,81.5999984741211
2015-08-20 03:56:17.698,35.009574,32.512347,81.30000305175781
2015-08-20 03:56:20.757,35.009517,32.512291,81.80000305175781
2015-08-20 03:56:21.708,35.009495,32.512267,81.69999694824219
2015-08-20 03:56:24.832,35.00943,32.512213,82.30000305175781
2015-08-20 03:56:25.698,35.00941,32.512199,82.0
2015-08-20 03:56:28.974,35.009361,32.512144,80.69999694824219
2015-08-20 03:57:10.713,35.009294,32.511551,84.0
2015-08-20 03:57:14.785,35.009386,32.511533,86.9000015258789
2015-08-20 03:57:15.920,35.009408,32.511524,87.5
2015-08-20 03:57:19.818,35.009485,32.511467,87.30000305175781
2015-08-20 03:57:20.757,35.0095,32.51145,86.80000305175781
2015-08-20 03:57:24.836,35.009559,32.511379,89.5999984741211
2015-08-20 03:57:25.763,35.009573,32.511362,89.5
2015-08-20 03:57:29.824,35.009636,32.511303,89.0
2015-08-20 03:57:30.702,35.009653,32.511293,88.80000305175781
2015-08-20 03:57:35.785,35.009745,32.511252,91.19999694824219
2015-08-20 03:57:36.709,35.009764,32.511245,91.69999694824219
2015-08-20 03:57:41.812,35.009855,32.511216,91.30000305175781
2015-08-20 03:57:42.760,35.009875,32.511212,91.80000305175781
2015-08-20 03:57:47.810,35.009977,32.511215,87.69999694824219
2015-08-20 03:57:48.711,35.009998,32.511218,88.5999984741211
2015-08-20 03:57:53.815,35.010102,32.511226,86.19999694824219
2015-08-20 03:57:54.704,35.010123,32.511225,86.5999984741211
2015-08-20 03:57:59.780,35.010227,32.511209,86.9000015258789
2015-08-20 03:58:00.710,35.010248,32.511202,87.9000015258789
2015-08-20 03:58:04.797,35.010329,32.511172,88.80000305175781
2015-08-20 03:58:05.710,35.010348,32.511162,88.5
2015-08-20 03:58:09.754,35.010419,32.511117,90.30000305175781
2015-08-20 03:58:23.793,35.010643,32.510997,93.5
2015-08-20 03:58:28.757,35.010748,32.510988,93.19999694824219
2015-08-20 03:58:29.705,35.010764,32.510981,93.5999984741211
2015-08-20 03:58:34.772,35.010825,32.510925,93.30000305175781
2015-08-20 03:58:35.709,35.010837,32.510912,93.80000305175781
2015-08-20 03:58:40.773,35.010887,32.510838,95.4000015258789
2015-08-20 03:58:41.710,35.010891,32.510821,94.69999694824219
2015-08-20 03:58:46.790,35.010903,32.510745,97.69999694824219
2015-08-20 03:58:47.755,35.01091,32.510729,98.4000015258789
2015-08-20 03:58:52.795,35.010939,32.510651,100.5
