channel_title,trending_count,views,subscribers,classification
Bachelor Nation on ABC,3,82835,9423.0,Traditional Media
BachelorsPadTv,1,242627,1735104.0,Youtuber
BaconLegs,1,86188,276.0,Conventional Viral
Bad Lip Reading,9,1953917,6673117.0,Youtuber
Banana Culture Music,1,1282399,92491.0,Music
Barcroft Animals,2,19109,414563.0,Traditional Media
Barn Sanctuary,1,143373,4016.0,Youtuber
Barstool Sports,1,20063,113746.0,Traditional Media
Battle Universe!,2,558076,2103935.0,Youtuber
Be Amazed,1,47661,2378320.0,Youtuber
BeOurGuest,1,85478,35813.0,Youtuber
Beats 1 Radio,4,554133,172987.0,Music
Beats by Dre,2,1590675,577789.0,Commercial
Bebe Rexha,4,455842,3370756.0,Music
Because Science,3,230248,216791.0,Youtuber
BeckVEVO,1,83625,220521.0,Music
Bee Ly TV,1,2234,20210.0,Youtuber
BehindTheSounds,1,86744,6890.0,Conventional Viral
BellaThorneVEVO,1,63926,424665.0,Music
BellatorMMA,1,1249702,228579.0,Traditional Media
Beme News,3,96588,284533.0,Youtuber
Ben Actis,1,419483,1644.0,Conventional Viral
Ben Pluimer,1,931830,9419.0,Youtuber
Ben Rohrbach,1,945,517.0,Conventional Viral
BenDeen,1,47399,350860.0,Youtuber
BenTheBondsman,1,9015,5158.0,Conventional Viral
Benn and Gear,1,28266,4163.0,Music
Berd,2,68237,367643.0,Youtuber
BerkleyLovesTori,1,62995,4773.0,Youtuber
Bethany Mota,1,987801,10534195.0,Youtuber
Bethel Music,1,60586,1070906.0,Music
Beyonce,1,1671461,0.0,Music
Beyond The Trailer,1,99566,703350.0,Movie Trailer
BeyondSlowMotion,1,12468,186835.0,Youtuber
Big Cat Rescue,1,30576,598570.0,Youtuber
Big Marvel,5,578233,2147756.0,Music
Big Ten Network,1,71072,0.0,Traditional Media
Bill Gates,2,178938,337511.0,Traditional Media
Billboard,8,700108,1315462.0,Music
Billboard News,1,3696,0.0,Traditional Media
Billions,1,12523,26248.0,Movie Trailer
Billy Graham Evangelistic Association,1,35053,87149.0,Commercial
Binging with Babish,10,712381,2322199.0,Conventional Viral
Bini the Bunny,1,26102,121228.0,Youtuber
Birdbox Studio,1,22695,223793.0,Youtuber
BishopBriggsVEVO,1,41956,237964.0,Music
Bkav Corp,1,1080230,5890.0,Youtuber
Blake Shelton,1,279586,1527298.0,Music
BleachersVEVO,1,43931,77299.0,Music
Bleecker Street,4,783814,35131.0,Movie Trailer
Blockbuster,1,12609,5616.0,Commercial
Blonded,1,1137333,130048.0,Music
Bloomberg,1,22195,863826.0,Traditional Media
Bloomberg Politics,1,6979,46825.0,Traditional Media
Blue Origin,3,95003,71726.0,Commercial
Blurred Culture,1,19048,22462.0,Traditional Media
Bob Przybylo,1,10720,95.0,Conventional Viral
Bobby Duke Arts,2,475480,624702.0,Youtuber
Boldly,5,1710859,9230156.0,Traditional Media
BostonDynamics,5,1941672,824219.0,Youtuber
BowlFullofAwesome,1,89829,1309.0,Conventional Viral
Brad Mondo,3,341986,1017715.0,Youtuber
Braille Skateboarding,1,104291,3116401.0,Youtuber
BrantleyGilbertVEVO,1,84155,654537.0,Music
BrasherN,1,80760,2290.0,Conventional Viral
Brat,1,2437554,1288271.0,Traditional Media
Brave Wilderness,13,963516,9715867.0,Youtuber
Bravo,2,179387,154612.0,Traditional Media
Braxen McConnell,1,9094,568.0,Conventional Viral
Breakfast Club Power 105.1 FM,11,531234,1858919.0,Traditional Media
BreakingBenjaminVEVO,1,334173,547793.0,Music
Brent Pella,1,462490,20883.0,Traditional Media
Bret Baier,1,35891,11764.0,Conventional Viral
BrettYoungVEVO,2,127317,438908.0,Music
Brian Hull,3,72938,1114778.0,Youtuber
Brian Klug,1,41335,377.0,Conventional Viral
BrianJustinCrum,1,27010,112761.0,Music
Brothers Green Eats,1,77630,1042390.0,Youtuber
Bruce Land,1,52107,26790.0,Youtuber
Bruno Mars,2,424943,20322469.5,Music
Bud Light,1,3199087,0.0,Commercial
Budweiser,2,1814436,0.0,Commercial
Bundesliga,1,98835,1143586.0,Traditional Media
Business Insider,11,265597,580958.8,Traditional Media
Business Insider UK,3,9023,34587.0,Traditional Media
Business InsiderAu,1,10477,109.0,Traditional Media
"But First, Coffee",1,1485647,230054.0,Youtuber
Butch Hartman,3,495881,675157.0,Traditional Media
Buttered Side Down,3,57156,230279.0,Youtuber
BuzzFeed Celeb,5,1718990,1360210.0,Traditional Media
BuzzFeed Nifty,8,76487,577026.0,Traditional Media
BuzzFeedBlue,10,1100563,7645824.0,Traditional Media
BuzzFeedVideo,40,1218782,14889874.0,Traditional Media
ByronTalbott,3,56280,1387255.0,Youtuber
C-SPAN,6,144242,188161.0,Traditional Media
CAguileraVEVO,5,1365860,2585885.0,Music
CBC News,6,315745,569585.0,Traditional Media
