Position,"Track Name",Artist,Streams,URL
56,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1007641,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
57,Unica,Ozuna,962622,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
58,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",958959,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
59,SWISH,Tyga,956967,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
60,Havana,"Camila Cabello",938904,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
61,sweetener,"Ariana Grande",927012,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
62,"Cuando Te Besé","Becky G",924826,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
63,"No Me Acuerdo",Thalía,923586,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
64,IDOL,BTS,922447,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
65,"The Middle",Zedd,920468,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
66,"Don’t Matter To Me (with Michael Jackson)",Drake,918576,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
67,X,"Nicky Jam",913904,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
68,IDGAF,"Dua Lipa",913148,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
69,FRIENDS,Marshmello,907993,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
70,Asesina,Brytiago,902821,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
71,Believer,"Imagine Dragons",901390,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
72,"Me Niego",Reik,897955,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
73,"X - Remix","Nicky Jam",897656,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
74,"Mala Mía",Maluma,892109,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
75,"lovely (with Khalid)","Billie Eilish",889713,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
76,"Look Alive (feat. Drake)","BlocBoy JB",882025,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
77,"La Player (Bandolera)","Zion & Lennox",881636,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
78,Darkside,"Alan Walker",867002,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
79,"All Girls Are The Same","Juice WRLD",866180,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
80,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",854368,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
81,"New Rules","Dua Lipa",823703,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
82,Thunder,"Imagine Dragons",817330,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
83,Perfect,"Ed Sheeran",809115,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
84,"Lean Wit Me","Juice WRLD",808045,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
85,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",804162,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
