MMSI, LAT, LON, SPEED, COURSE, STATUS, TIMESTAMP
219857000,10.762240,106.799700,0,245,5,2013-11-20T16:08:00
548038500,10.193310,123.825600,64,255,8,2013-11-20T16:10:00
525012103,5.451125,95.239410,0,95,8,2013-11-20T16:10:00
563001320,1.224345,103.719700,0,135,0,2013-11-20T16:12:00
636092239,1.265293,103.844700,0,0,5,2013-11-20T16:10:00
353467000,1.263710,103.848400,0,333,5,2013-11-20T16:12:00
245404000,-12.495700,130.891600,0,268,1,2013-11-20T16:12:00
245810000,-12.491760,130.873200,4,6,3,2013-11-20T16:11:00
525002061,-5.870350,105.755200,1,253,0,2013-11-20T15:40:00
246351000,-12.496660,130.880200,3,118,3,2013-11-20T16:10:00
246365000,-12.491990,130.873200,5,271,0,2013-11-20T16:11:00
563024220,1.270258,103.855100,0,38,99,2013-11-20T16:08:00
529213000,1.296762,103.731000,118,315,0,2013-11-20T16:08:00
529627000,-5.865262,105.808800,20,90,0,2013-11-20T16:02:00
548315100,10.166670,123.854200,124,200,0,2013-11-20T16:11:00
563005290,1.262367,103.841000,39,306,0,2013-11-20T16:12:00
563017650,1.254672,103.603800,4,261,1,2013-11-20T15:55:00
566978000,-5.909683,106.001700,0,307,5,2013-11-20T16:07:00
457771000,1.285113,103.705400,23,334,99,2013-11-20T16:11:00
525009046,-3.329292,114.556800,0,192,0,2013-11-20T16:11:00
533000330,1.239883,103.807000,3,5,0,2013-11-20T16:08:00
376095000,1.184133,103.640400,94,281,0,2013-11-20T16:12:00
563007830,1.223845,103.712500,0,127,0,2013-11-20T15:59:00
457900032,10.346550,123.991900,0,142,8,2013-11-20T16:12:00
564022000,1.223933,103.721900,1,52,0,2013-11-20T16:08:00
564285000,1.251645,103.879300,1,15,0,2013-11-20T16:08:00
245450000,-12.507670,130.899200,11,311,3,2013-11-20T16:11:00
538005006,1.252028,103.915500,1,171,1,2013-11-20T16:10:00
412034000,-6.017388,105.919700,1,44,1,2013-11-20T15:47:00
