Oid,New_house,New_renter,Previous_renter,House_value_divided_by_wealth,Rent_divided _by_welth,Income_divided_by_wealth,Respoders_networth,Responder_age,white,married,kids,Location
95,0,0,0,1.823,0,0.109,170163.2,45,1,0,2,South
96,0,0,0,2.557,0,0.322,104795.6,56,1,0,0,West
97,0,0,0,0,0.097,0.392,46691.1,28,1,1,0,MW
98,0,0,0,4.609,0,0.696,48247.5,37,1,1,2,South
99,1,0,0,1.187,0,0.534,45134.8,44,1,1,2,West
100,1,0,0,3.106,0,0.324,41503.2,44,1,0,1,MW
101,0,0,0,3.077,0,0.565,42540.8,35,1,1,0,West
102,0,0,0,0.577,0,0.553,19921.5,36,1,1,5,West
103,0,0,0,1.027,0,0.058,143912.4,49,1,1,0,South
104,0,1,1,0,0.255,0.273,39428.1,59,0,0,0,MW
105,0,0,0,1.136,0,0.536,114133.9,58,1,1,0,South
106,0,0,0,3.333,0,0.626,63811.2,32,1,1,2,South
107,0,0,0,1.74,0,0.597,28222.2,59,1,0,0,West
108,1,0,1,2.474,0,0.441,78856.1,52,1,1,0,MW
109,0,0,0,0.945,0,0.09,69414.1,79,1,0,0,South
110,0,0,0,0.93,0,0.224,181576.6,58,1,1,0,South
111,0,1,1,0,0.073,0.449,26977.1,27,1,1,1,South
112,0,0,0,1.37,0,0.477,72630.7,39,1,1,5,West
113,0,0,0,3.929,0,0.539,88194.4,37,1,1,2,West
114,0,0,0,2.32,0,0.361,72008.1,54,1,1,0,West
115,0,0,0,1.209,0,0.284,147855.3,39,1,1,2,South
116,1,0,1,1.867,0,0.677,41503.2,56,1,1,0,South
117,0,0,0,0.659,0,0.276,89128.2,59,1,0,0,South
118,0,0,0,2.699,0,0.537,22826.8,54,1,0,0,West
119,0,0,0,0.048,0,0.394,85081.6,30,1,1,2,South
120,0,0,0,1.083,0,0.347,106870.8,38,1,1,2,South
121,0,0,0,0.807,0,0.236,147544,56,1,0,0,West
122,1,0,0,2.399,0,0.255,109983.5,56,1,0,0,NE
123,0,0,0,3.171,0,0.584,45861.1,34,1,0,0,NE
124,0,0,0,3.194,0,0.445,73149.4,34,1,1,2,NE
125,0,0,0,1.952,0,0.285,114133.9,53,1,1,2,South
126,0,0,0,3.409,0,0.498,74705.8,45,1,1,2,South
127,0,0,0,0.246,0,0.701,13073.5,46,1,1,0,South
128,1,0,0,0.206,0,0.629,39428.1,33,1,1,3,South
129,0,0,0,0.649,0,0.258,153561.9,64,0,1,0,MW
130,0,0,0,1.905,0,0.721,12762.2,54,1,0,0,MW
131,0,0,1,0,0.495,0.768,14318.6,58,1,1,0,MW
132,0,0,0,1.354,0,0.096,135923.1,45,1,1,0,South
133,0,0,0,1.038,0,0.142,182974.2,61,1,1,0,West
134,0,0,0,0.75,0,0.116,173276,80,1,1,0,West
135,0,0,0,0.8,0,0.307,23864.4,50,1,1,0,South
136,0,0,0,0.744,0,0.238,131772.8,51,1,1,1,West
137,0,0,0,1.266,0,0.203,38909.3,53,1,1,1,West
138,0,1,0,0,0.286,0.515,23241.8,51,1,1,0,West
139,0,1,0,0,0.558,0.616,30297.4,33,1,1,2,West
140,0,0,0,0.938,0,0.157,122953.3,58,1,0,0,South
141,0,0,0,1.593,0,0.634,47728.7,28,1,1,2,West
142,0,0,0,1.048,0,0.3,124509.7,58,0,1,0,South
143,0,0,0,1.392,0,0.248,157712.3,29,1,0,0,West
144,0,0,0,0.571,0,0.38,108946,49,1,1,0,South
145,0,0,0,1.215,0,0.154,197140.3,58,1,0,0,South
146,0,1,1,0,0.226,0.432,65886.4,43,1,0,0,West
147,0,0,0,1.471,0,0.35,73744,60,1,1,0,South
148,0,0,0,0.889,0,0.069,97117.5,56,1,1,0,South
149,0,0,0,4.918,0,0.566,48766.3,34,1,1,2,South
150,0,0,0,1.462,0,0.184,139194.6,31,1,0,0,South
151,0,0,0,1.891,0,0.397,120359.4,37,1,1,0,NE
152,0,0,1,0,0.044,0.403,36834.1,58,1,0,0,West
153,0,0,0,0.944,0,0.096,29052.3,70,1,1,1,MW
154,0,0,0,1.322,0,0.342,137479.4,32,1,1,3,West
155,0,0,0,2.3,0,0.237,147336.5,40,1,0,7,West
156,0,0,0,3,0,0.367,77299.8,37,1,0,0,West
157,0,0,0,3.704,0,0.413,51879,31,1,0,0,South
158,0,1,1,0,0.342,0.588,16601.3,25,1,0,0,MW
159,0,1,1,0,0.333,0.746,11932.2,36,1,0,0,MW
160,0,1,0,0,0.314,0.159,120255.6,38,1,0,0,NE
161,0,0,0,2.051,0,0.569,45653.6,35,1,1,1,NE
162,0,0,0,2.349,0,0.372,145261.3,44,1,1,2,NE
163,0,0,0,2.857,0,0.387,84044,42,1,1,1,NE
164,0,0,1,0,0.228,0.391,17638.9,77,1,0,0,MW
165,0,0,0,1.863,0,0.82,12969.8,31,1,1,1,South
166,0,1,0,0,0.262,0.305,54991.8,23,1,1,0,West
167,0,0,0,1.432,0,0.326,150449.2,46,1,1,0,West
168,1,0,0,1.027,0,0.269,165494.1,52,1,1,0,South
169,0,0,1,0,0.47,0.842,16601.3,46,1,1,0,NE
170,0,0,0,0.918,0,0.052,196102.8,83,1,1,0,South
171,0,1,1,0,0.048,0.713,11205.9,33,1,0,0,West
172,0,0,0,1.087,0,0.308,115171.5,64,1,0,0,West
173,0,0,0,4.364,0,0.504,29259.8,45,1,0,0,West
174,0,1,1,0,0.059,0.498,28014.7,26,1,0,0,South
175,0,0,0,0.346,0,0.213,38214.1,65,1,1,2,South
176,0,0,1,0,0.278,0.214,24590.7,70,1,0,0,South
177,0,0,1,0,0.023,0.095,58934.6,36,1,0,0,West
178,0,0,0,1.087,0,0.477,103758.1,50,1,1,0,West
179,0,0,0,4.209,0,0.247,155118.3,41,1,1,7,MW
180,1,0,0,1.429,0,0.314,86119.2,59,1,1,0,MW
181,0,0,0,4.634,0,0.527,46172.3,45,1,1,2,MW
182,0,0,0,1.182,0,0.087,175668.6,59,1,1,0,MW
183,0,0,0,1.299,0,0.55,85081.6,45,0,1,0,MW
184,0,0,0,1.176,0,0.244,80412.5,54,1,0,0,MW
185,0,0,0,0.606,0,0.271,164975.3,43,1,1,2,MW
186,0,0,0,0.966,0,0.113,195999,76,1,0,0,MW
187,0,0,0,1.667,0,0.376,43578.4,48,1,0,0,MW
188,0,0,0,0.341,0,0.25,186349.5,60,1,1,0,NE
189,0,0,0,1.915,0,0.366,133329.1,49,1,1,2,West
190,0,0,0,1.767,0,0.305,82933.8,49,1,1,0,NE
191,0,0,0,1.967,0,0.671,34759,37,1,1,2,NE
192,1,0,0,2.083,0,0.624,103758.1,34,1,1,1,South
193,0,0,0,2.117,0,0.523,38390.5,52,1,0,0,South
194,0,0,0,1.712,0,0.294,176388.7,46,1,1,1,South
195,0,0,1,0,0.179,0.778,11724.7,34,1,1,2,South
196,0,0,0,1.796,0,0.239,167050.5,58,1,0,0,South
197,1,0,1,1.599,0,0.291,186764.5,54,1,1,0,MW
198,0,0,0,0.908,0,0.455,85081.6,50,1,1,0,West
199,0,0,0,0.96,0,0.257,127622.4,48,1,0,0,West
200,0,0,0,1.915,0,0.374,87219,36,1,0,0,NE
201,1,0,0,1.384,0,0.406,88401.9,41,1,1,1,MW
202,0,0,0,4.845,0,0.424,90995.8,42,1,1,1,MW
203,0,0,0,2.301,0,0.249,157504.8,38,1,1,1,MW
204,0,0,0,2.32,0,0.416,105106.9,52,1,1,0,MW
205,0,0,0,1.026,0,0.745,44616,60,1,1,0,South
206,0,1,1,0,0.919,0.579,16082.5,29,1,0,0,South
207,0,0,0,0.816,0,0.198,130735.2,52,1,1,1,West
208,0,0,0,1.203,0,0.517,40963.7,45,1,1,1,West
209,0,0,0,1.348,0,0.295,34772.4,62,1,0,0,South
210,0,0,0,1.19,0,0.245,37379.9,65,1,0,0,South
211,0,0,0,3.333,0,0.321,66924,33,1,1,4,West
212,0,0,0,0.996,0,0.163,176388.7,74,0,0,0,NE
213,0,0,0,2.28,0,0.357,105127.7,51,1,1,0,NE
214,0,0,0,2.616,0,0.261,197659.1,55,1,1,0,NE
215,0,0,1,0,0.05,0.133,199734.3,57,1,0,0,West
216,0,0,0,0.675,0,0.385,103446.8,54,1,1,0,West
217,0,0,1,0,0.474,0.68,12347.2,53,1,1,0,West
218,0,0,0,1,0,0.719,22826.8,45,1,1,3,West
219,0,1,0,0,0.357,0.38,50426.4,34,1,1,1,West
220,0,0,1,0,0.063,0.358,63915,65,1,1,0,West
221,0,0,0,1.35,0,0.15,172757.2,69,1,1,0,South
222,0,0,0,3.883,0,0.55,43059.6,40,0,1,1,South
223,0,0,0,4.242,0,0.121,43059.6,61,0,1,0,South
224,1,0,0,5.143,0,0.509,88713.1,37,1,1,1,South
225,0,0,0,0.64,0,0.274,53954.2,31,0,0,0,South
226,0,0,1,0,0.251,0.654,10894.6,26,0,0,0,West
227,0,1,1,0,0.121,0.609,22826.8,26,1,0,0,South
228,0,0,0,1.179,0,0.314,93382.3,38,1,1,3,NE
229,0,1,1,0,0.167,0.566,37871.7,29,1,1,0,South
230,0,1,1,0,0.44,0.666,14526.1,27,1,0,0,South
231,0,0,1,0,0.211,0.461,72630.7,39,1,1,1,MW
232,0,0,1,0,0.453,0.779,10375.8,47,1,0,0,NE
233,0,0,0,4.535,0,0.412,102201.7,44,1,1,1,NE
234,0,0,0,1.135,0,0.154,125547.3,64,1,1,0,West
235,0,0,0,4.842,0,0.62,47728.7,39,1,1,3,West
236,0,0,0,1.751,0,0.402,112577.5,52,1,1,0,MW
237,0,1,1,0,0.01,0.148,41503.2,34,1,1,2,West
238,0,0,0,1.8,0,0.431,57066.9,60,1,1,0,West
239,0,0,0,0.873,0,0.276,190914.8,66,1,1,0,South
240,0,0,0,0.766,0,0.356,131712.6,36,1,1,2,West
241,0,0,0,0.183,0,0.491,74705.8,32,1,1,2,West
242,0,0,0,1.658,0,0.466,22619.3,69,1,0,0,West
243,0,0,0,0.567,0,0.485,67442.7,48,1,1,0,West
244,0,0,0,0.38,0,0.373,188839.7,49,1,1,2,West
245,0,0,0,1.765,0,0.255,167050.5,53,1,1,1,West
246,1,0,0,1.366,0,0.715,16186.3,44,1,1,0,South
247,0,0,0,0.92,0,0.08,157733,74,1,0,2,South
248,0,0,0,1.395,0,0.48,128660,51,1,1,2,South
249,0,0,0,3.659,0,0.803,17638.9,29,1,1,0,South
250,1,0,0,2.642,0,0.424,77299.8,27,1,1,1,South
251,0,0,1,0,0.769,0.757,13488.5,26,1,1,0,South
252,0,1,1,0,0.244,0.673,35277.7,32,1,1,2,MW
253,0,0,0,0.685,0,0.308,166012.9,64,1,1,0,South
254,0,0,0,1.72,0,0.525,54991.8,31,1,1,1,South
255,0,1,1,0,0.266,0.632,12866,27,0,0,0,South
256,0,0,0,0.409,0,0.518,169125.6,41,1,1,3,South
257,0,0,0,0.874,0,0.447,70036.7,52,1,1,1,NE
258,0,0,0,1.519,0,0.815,36315.3,34,1,1,2,MW
259,0,1,1,0,0.5,0.773,10375.8,28,1,0,0,West
260,0,0,0,1.029,0,0.339,108946,38,0,1,2,West
261,0,0,0,4.146,0,0.421,89698.9,33,1,0,0,West
262,0,1,1,0,0.17,0.27,31646.2,25,1,0,0,NE
263,0,0,0,1.397,0,0.335,90788.3,37,1,1,1,South
264,0,0,0,1.77,0,0.327,191744.9,35,1,1,2,West
265,0,0,0,3.75,0,0.645,25109.5,28,1,1,0,South
266,0,0,0,1,0,0.314,126584.8,48,1,1,1,South
267,0,0,0,2.072,0,0.442,65367.6,63,1,0,0,South
268,1,0,0,1.994,0,0.488,116727.8,30,1,1,0,South
269,0,0,0,0.905,0,0.226,189877.3,43,1,1,0,South
270,1,0,1,2.381,0,0.579,50841.5,31,1,1,0,South
271,0,0,0,3.547,0,0.385,186764.5,38,1,1,3,MW
272,0,0,0,2.376,0,0.398,175351.1,38,1,1,3,West
273,0,1,1,0,0.06,0.11,111021.1,24,1,0,0,MW
274,0,0,0,1.617,0,0.236,183651.8,37,1,1,2,NE
275,0,1,1,0,0.324,0.835,12139.7,36,0,0,0,South
276,0,0,1,0,0.224,0.608,21477.9,41,1,0,1,South
277,1,0,1,2.086,0,0.857,10583.3,33,1,1,0,South
278,0,0,0,4.423,0,0.511,90269.5,61,1,1,0,South
279,1,0,1,0.746,0,0.827,11724.7,33,1,1,2,South
280,0,0,0,2.129,0,0.498,49596.4,39,1,1,2,West
281,0,0,1,0,0.082,0.501,35070.2,49,1,0,0,MW
282,0,0,0,2.361,0,0.729,14318.6,38,1,1,0,South
283,1,0,0,1.333,0,0.529,35796.5,48,1,1,1,South
284,0,0,0,1.563,0,0.213,166012.9,57,1,1,1,MW
285,0,0,1,0,0.706,0.779,10417.3,37,1,1,2,MW
286,0,0,0,1.818,0,0.467,88194.4,33,1,1,2,MW
287,0,0,0,2.042,0,0.388,168606.9,44,1,1,3,South
288,0,0,0,1.453,0,0.35,135404.3,57,1,1,1,South
289,0,0,0,0.561,0,0.101,103965.6,33,1,0,3,MW
290,0,0,0,0.954,0,0.102,164456.5,50,1,0,1,West
291,0,0,0,1.917,0,0.417,97532.6,32,0,1,1,MW
292,0,1,0,0,0.394,0.571,30297.4,30,1,1,3,South
293,0,0,0,3.333,0,0.853,10375.8,60,0,1,0,West
294,0,0,0,0.612,0,0.157,199734.3,41,1,1,1,South
295,0,0,0,1.26,0,0.346,175351.1,43,1,1,2,MW
296,0,1,1,0,0.298,0.667,14007.3,26,1,1,0,South
297,0,1,1,0,0.034,0.447,37456.7,26,1,1,0,West
298,0,0,0,1.182,0,0.272,160825,56,1,1,0,West
299,0,1,0,0,0.247,0.493,50218.9,39,1,1,0,South
300,0,0,0,0.606,0,0.267,171200.8,57,1,1,0,South
301,0,0,0,0.871,0,0.218,99504,58,1,1,0,South
302,0,0,0,0.816,0,0.13,190290.2,68,1,1,0,South
303,0,0,0,0.403,0,0.402,98570.2,52,1,1,2,South
304,0,0,0,3.114,0,0.457,34862.7,38,1,0,0,West
305,0,0,1,0,0.157,0.606,19714,24,0,0,0,MW
306,0,0,0,3.022,0,0.271,166531.7,62,1,1,0,South
307,0,0,0,0.885,0,0.116,174120.6,59,1,0,0,West
308,1,0,1,2.474,0,0.838,15563.7,42,1,1,0,West
309,0,0,0,0.724,0,0.299,96546.9,49,1,1,0,South
310,0,1,0,0,0.002,0.346,74602,39,1,0,0,South
311,0,0,0,0.731,0,0.339,157712.3,30,1,1,0,South
312,0,0,0,3.125,0,0.546,40465.6,26,1,0,0,South
313,0,0,0,3.797,0,0.283,69942.3,80,1,1,0,West
314,0,0,0,1.336,0,0.455,74809.6,36,1,1,3,West
315,0,0,0,0.987,0,0.279,128141.2,62,1,1,0,South
316,0,1,1,0,0.358,0.269,166012.9,35,0,1,3,West
317,0,0,0,2.295,0,0.148,148374,38,1,0,0,South
318,1,0,0,2.5,0,0.395,127622.4,33,1,1,0,South
319,1,0,0,0.36,0,0.51,14526.1,65,1,1,0,MW
320,0,0,0,1.75,0,0.332,98570.2,47,1,0,0,MW
321,0,0,1,0,0.163,0.444,39479.9,28,1,0,0,MW
322,0,0,0,0.339,0,0.717,18676.5,51,1,1,0,MW
323,0,0,0,0.915,0,0.126,82072.6,81,1,0,0,NE
324,0,0,1,0,0.426,0.573,20751.6,36,0,0,3,South
325,0,0,1,0,0.194,0.761,20751.6,43,0,1,2,South
326,0,0,0,4,0,0.592,16030.6,42,0,0,0,MW
327,0,0,0,2.785,0,0.325,79374.9,60,1,0,0,South
328,0,0,0,0.71,0,0.259,117765.4,63,1,0,0,West
329,0,0,0,0.354,0,0.439,81968.9,35,1,1,0,West
330,0,1,1,0,0.379,0.579,19714,37,1,0,3,NE
331,0,0,0,1.515,0,0.341,136960.6,53,1,1,0,NE
332,0,0,0,1.376,0,0.373,115171.5,52,1,1,0,NE
333,0,0,0,0.957,0,0.072,162900.1,78,1,0,0,NE
334,0,0,0,3,0,0.541,31127.4,55,1,1,0,West
335,0,0,0,1.613,0,0.374,88505.6,50,1,0,0,NE
336,0,1,0,0,0.317,0.757,18676.5,47,1,1,0,South
337,0,0,0,0.356,0,0.329,64122.5,39,1,0,0,West
338,0,0,0,0.73,0,0.367,190396,48,1,1,0,South
339,0,0,0,1.333,0,0.285,99711.5,31,1,1,4,West
340,0,0,0,2.535,0,0.666,46898.6,34,0,1,1,South
341,0,1,1,0,0.725,0.262,117246.6,30,1,0,0,MW
342,0,0,0,4.524,0,0.355,129697.6,40,1,1,3,South
343,0,0,0,3.259,0,0.473,29156,53,1,0,0,West
344,0,0,0,1.652,0,0.313,132499.1,52,1,0,0,South
345,0,0,0,2.144,0,0.395,57066.9,45,1,0,2,West
346,0,1,0,0,0.234,0.678,20751.6,29,1,1,1,West
347,0,1,1,0,0.426,0.528,11050.2,22,1,1,0,South
348,0,0,0,1.257,0,0.387,123160.8,61,1,0,0,South
349,0,0,0,2.182,0,0.155,61632.3,47,1,0,0,MW
350,0,0,0,1.565,0,0.302,113096.3,37,1,1,2,South
351,1,0,0,2.778,0,0.287,120878.1,29,1,1,2,South
352,0,0,0,0.94,0,0.338,135923.1,63,1,1,0,South
353,0,0,0,0.993,0,0.357,137479.4,60,1,1,0,South
354,0,0,0,3.509,0,0.204,146298.9,29,1,1,0,NE
355,0,0,0,3.182,0,0.772,18676.5,40,1,0,0,NE
356,0,0,0,1.481,0,0.322,87338.4,29,1,1,1,South
357,0,0,0,1.364,0,0.336,118284.2,43,1,1,2,West
358,0,0,0,1.547,0,0.437,150449.2,41,1,1,4,West
359,0,0,0,1.529,0,0.314,145261.3,49,1,1,1,West
360,1,0,0,3.721,0,0.252,89024.4,49,1,1,0,West
361,0,1,1,0,0.519,0.665,14214.9,38,1,0,1,West
362,1,0,0,4.615,0,0.705,19195.2,28,1,1,2,West
363,0,0,0,1.429,0,0.416,76972.9,34,1,1,1,West
364,0,0,0,1.121,0,0.264,94004.8,49,1,1,0,South
365,0,0,0,1.885,0,0.536,92344.7,47,1,1,1,South
366,0,0,0,4.523,0,0.781,10583.3,37,1,0,0,NE
367,0,0,0,3.585,0,0.514,73668.2,31,1,1,3,West
368,0,0,0,1.316,0,0.387,109983.5,55,1,1,0,West
369,0,0,0,3.337,0,0.554,66267.2,35,1,1,5,South
370,0,0,0,0.594,0,0.325,95457.4,53,1,1,0,South
371,0,0,0,3.095,0,0.11,71074.3,49,1,1,0,MW
372,0,0,1,0,0.041,0.074,146443.1,32,1,0,0,South
373,0,1,1,0,0.085,0.249,178671.4,27,1,1,0,MW
374,0,0,0,1.954,0,0.247,81190.7,35,1,0,2,South
375,0,0,0,2.34,0,0.307,103758.1,35,1,1,1,West
376,0,0,0,2.472,0,0.358,160202.5,45,1,1,1,West
377,0,0,0,1.172,0,0.233,135404.3,50,1,0,0,MW
378,0,0,0,0.828,0,0.193,161862.6,46,1,0,0,MW
379,0,1,1,0,0.134,0.254,35277.7,26,1,0,0,MW
380,0,0,0,1.284,0,0.311,115171.5,60,1,1,0,MW
381,0,0,0,1.944,0,0.349,98051.4,44,1,1,1,South
382,0,0,0,3.663,0,0.422,58104.5,51,0,0,0,NE
383,0,0,0,1.57,0,0.206,81138.8,56,0,0,0,NE
384,0,0,0,0.736,0,0.695,18261.4,49,1,1,0,South
385,0,0,0,2.025,0,0.358,141111,49,1,1,0,South
386,1,0,0,2.439,0,0.406,125547.3,29,1,1,0,MW
387,0,0,0,2.697,0,0.533,29363.5,61,1,0,0,NE
388,0,1,1,0,0.435,0.694,14655.8,28,0,0,2,NE
389,0,0,0,1.101,0,0.436,100645.3,47,1,1,2,NE
390,0,0,0,3.667,0,0.761,25939.5,36,1,1,3,South
