label,02-01-2015
01D,0.0590202553
01M,0.1180300000
02M,0.1202090506
03M,0.1225363963
04M,0.1246139668
05M,0.1255163949
06M,0.1261258216
07M,0.1281458083
08M,0.1290205046
09M,0.1292277775
10M,0.1294008913
11M,0.1295168026
12M,0.1295712338
13M,0.1295912102
14M,0.1296024290
15M,0.1296037507
16M,0.1295453023
17M,0.1293782394
18M,0.1291013205
19M,0.1288316811
20M,0.1286921518
21M,0.1271541534
22M,0.1257593049
23M,0.1244014481
02A,0.1222998260
